areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-08-27,127,132628
overview,United Kingdom,K02000001,2021-08-26,116,132501
overview,United Kingdom,K02000001,2021-08-25,101,132385
overview,United Kingdom,K02000001,2021-08-24,113,132284
overview,United Kingdom,K02000001,2021-08-23,114,132171
overview,United Kingdom,K02000001,2021-08-22,116,132057
overview,United Kingdom,K02000001,2021-08-21,104,131941
overview,United Kingdom,K02000001,2021-08-20,117,131837
overview,United Kingdom,K02000001,2021-08-19,108,131720
overview,United Kingdom,K02000001,2021-08-18,98,131612
overview,United Kingdom,K02000001,2021-08-17,108,131514
overview,United Kingdom,K02000001,2021-08-16,78,131406
overview,United Kingdom,K02000001,2021-08-15,85,131328
overview,United Kingdom,K02000001,2021-08-14,93,131243
overview,United Kingdom,K02000001,2021-08-13,104,131150
overview,United Kingdom,K02000001,2021-08-12,106,131046
overview,United Kingdom,K02000001,2021-08-11,88,130940
overview,United Kingdom,K02000001,2021-08-10,81,130852
overview,United Kingdom,K02000001,2021-08-09,79,130771
overview,United Kingdom,K02000001,2021-08-08,79,130692
overview,United Kingdom,K02000001,2021-08-07,95,130613
overview,United Kingdom,K02000001,2021-08-06,93,130518
overview,United Kingdom,K02000001,2021-08-05,101,130425
overview,United Kingdom,K02000001,2021-08-04,79,130324
overview,United Kingdom,K02000001,2021-08-03,74,130245
overview,United Kingdom,K02000001,2021-08-02,79,130171
overview,United Kingdom,K02000001,2021-08-01,93,130092
overview,United Kingdom,K02000001,2021-07-31,89,129999
overview,United Kingdom,K02000001,2021-07-30,105,129910
overview,United Kingdom,K02000001,2021-07-29,77,129805
overview,United Kingdom,K02000001,2021-07-28,86,129728
overview,United Kingdom,K02000001,2021-07-27,72,129642
overview,United Kingdom,K02000001,2021-07-26,74,129570
overview,United Kingdom,K02000001,2021-07-25,71,129496
overview,United Kingdom,K02000001,2021-07-24,72,129425
overview,United Kingdom,K02000001,2021-07-23,81,129353
overview,United Kingdom,K02000001,2021-07-22,76,129272
overview,United Kingdom,K02000001,2021-07-21,54,129196
overview,United Kingdom,K02000001,2021-07-20,58,129142
